Player's Score: 2
  Dealer Upcard: 1 | Hit Win: 34.9% | Stand Win: 17.7%
  Dealer Upcard: 2 | Hit Win: 39.2% | Stand Win: 38.9%
  Dealer Upcard: 3 | Hit Win: 38.3% | Stand Win: 39.7%
  Dealer Upcard: 4 | Hit Win: 34.9% | Stand Win: 33.5%
  Dealer Upcard: 5 | Hit Win: 38.7% | Stand Win: 36.9%
  Dealer Upcard: 6 | Hit Win: 47.2% | Stand Win: 48.2%
  Dealer Upcard: 7 | Hit Win: 39.2% | Stand Win: 26.1%
  Dealer Upcard: 8 | Hit Win: 38.3% | Stand Win: 24.9%
  Dealer Upcard: 9 | Hit Win: 30.1% | Stand Win: 25.0%
  Dealer Upcard: 10 | Hit Win: 28.3% | Stand Win: 20.8%


Player's Score: 3
  Dealer Upcard: 1 | Hit Win: 32.3% | Stand Win: 15.7%
  Dealer Upcard: 2 | Hit Win: 33.1% | Stand Win: 37.7%
  Dealer Upcard: 3 | Hit Win: 37.9% | Stand Win: 35.7%
  Dealer Upcard: 4 | Hit Win: 41.2% | Stand Win: 39.3%
  Dealer Upcard: 5 | Hit Win: 43.9% | Stand Win: 44.6%
  Dealer Upcard: 6 | Hit Win: 38.1% | Stand Win: 44.8%
  Dealer Upcard: 7 | Hit Win: 33.7% | Stand Win: 29.3%
  Dealer Upcard: 8 | Hit Win: 31.1% | Stand Win: 25.6%
  Dealer Upcard: 9 | Hit Win: 31.2% | Stand Win: 26.7%
  Dealer Upcard: 10 | Hit Win: 28.7% | Stand Win: 21.5%


Player's Score: 4
  Dealer Upcard: 1 | Hit Win: 32.0% | Stand Win: 16.0%
  Dealer Upcard: 2 | Hit Win: 33.5% | Stand Win: 36.3%
  Dealer Upcard: 3 | Hit Win: 36.4% | Stand Win: 39.4%
  Dealer Upcard: 4 | Hit Win: 40.1% | Stand Win: 40.5%
  Dealer Upcard: 5 | Hit Win: 37.7% | Stand Win: 42.2%
  Dealer Upcard: 6 | Hit Win: 42.3% | Stand Win: 45.7%
  Dealer Upcard: 7 | Hit Win: 32.1% | Stand Win: 29.6%
  Dealer Upcard: 8 | Hit Win: 33.5% | Stand Win: 25.1%
  Dealer Upcard: 9 | Hit Win: 30.0% | Stand Win: 25.9%
  Dealer Upcard: 10 | Hit Win: 27.6% | Stand Win: 21.5%


Player's Score: 5
  Dealer Upcard: 1 | Hit Win: 30.5% | Stand Win: 15.5%
  Dealer Upcard: 2 | Hit Win: 32.7% | Stand Win: 37.4%
  Dealer Upcard: 3 | Hit Win: 32.7% | Stand Win: 41.1%
  Dealer Upcard: 4 | Hit Win: 34.8% | Stand Win: 43.4%
  Dealer Upcard: 5 | Hit Win: 42.7% | Stand Win: 46.5%
  Dealer Upcard: 6 | Hit Win: 36.6% | Stand Win: 43.3%
  Dealer Upcard: 7 | Hit Win: 32.9% | Stand Win: 27.6%
  Dealer Upcard: 8 | Hit Win: 31.6% | Stand Win: 27.7%
  Dealer Upcard: 9 | Hit Win: 29.4% | Stand Win: 22.0%
  Dealer Upcard: 10 | Hit Win: 26.7% | Stand Win: 20.0%


Player's Score: 6
  Dealer Upcard: 1 | Hit Win: 29.5% | Stand Win: 16.2%
  Dealer Upcard: 2 | Hit Win: 28.1% | Stand Win: 37.1%
  Dealer Upcard: 3 | Hit Win: 33.5% | Stand Win: 38.5%
  Dealer Upcard: 4 | Hit Win: 34.6% | Stand Win: 40.6%
  Dealer Upcard: 5 | Hit Win: 32.4% | Stand Win: 44.7%
  Dealer Upcard: 6 | Hit Win: 38.7% | Stand Win: 44.7%
  Dealer Upcard: 7 | Hit Win: 29.3% | Stand Win: 27.7%
  Dealer Upcard: 8 | Hit Win: 29.2% | Stand Win: 25.1%
  Dealer Upcard: 9 | Hit Win: 26.2% | Stand Win: 23.1%
  Dealer Upcard: 10 | Hit Win: 23.9% | Stand Win: 19.8%


Player's Score: 7
  Dealer Upcard: 1 | Hit Win: 28.5% | Stand Win: 15.1%
  Dealer Upcard: 2 | Hit Win: 30.9% | Stand Win: 36.4%
  Dealer Upcard: 3 | Hit Win: 33.0% | Stand Win: 38.9%
  Dealer Upcard: 4 | Hit Win: 33.1% | Stand Win: 42.1%
  Dealer Upcard: 5 | Hit Win: 36.7% | Stand Win: 44.8%
  Dealer Upcard: 6 | Hit Win: 33.9% | Stand Win: 44.6%
  Dealer Upcard: 7 | Hit Win: 30.5% | Stand Win: 27.4%
  Dealer Upcard: 8 | Hit Win: 27.8% | Stand Win: 25.7%
  Dealer Upcard: 9 | Hit Win: 24.1% | Stand Win: 26.8%
  Dealer Upcard: 10 | Hit Win: 24.1% | Stand Win: 20.4%


Player's Score: 8
  Dealer Upcard: 1 | Hit Win: 28.5% | Stand Win: 15.3%
  Dealer Upcard: 2 | Hit Win: 32.8% | Stand Win: 35.4%
  Dealer Upcard: 3 | Hit Win: 35.2% | Stand Win: 38.3%
  Dealer Upcard: 4 | Hit Win: 37.4% | Stand Win: 43.0%
  Dealer Upcard: 5 | Hit Win: 37.0% | Stand Win: 41.3%
  Dealer Upcard: 6 | Hit Win: 36.0% | Stand Win: 46.9%
  Dealer Upcard: 7 | Hit Win: 36.5% | Stand Win: 29.2%
  Dealer Upcard: 8 | Hit Win: 28.8% | Stand Win: 24.1%
  Dealer Upcard: 9 | Hit Win: 29.1% | Stand Win: 24.7%
  Dealer Upcard: 10 | Hit Win: 26.0% | Stand Win: 20.0%


Player's Score: 9
  Dealer Upcard: 1 | Hit Win: 30.4% | Stand Win: 15.0%
  Dealer Upcard: 2 | Hit Win: 34.1% | Stand Win: 35.9%
  Dealer Upcard: 3 | Hit Win: 37.6% | Stand Win: 39.3%
  Dealer Upcard: 4 | Hit Win: 36.6% | Stand Win: 42.3%
  Dealer Upcard: 5 | Hit Win: 37.0% | Stand Win: 43.0%
  Dealer Upcard: 6 | Hit Win: 40.6% | Stand Win: 44.2%
  Dealer Upcard: 7 | Hit Win: 34.9% | Stand Win: 28.7%
  Dealer Upcard: 8 | Hit Win: 35.4% | Stand Win: 25.6%
  Dealer Upcard: 9 | Hit Win: 30.4% | Stand Win: 23.7%
  Dealer Upcard: 10 | Hit Win: 25.5% | Stand Win: 19.9%


Player's Score: 10
