Player's Score: 2
  Dealer Upcard: 1 | Hit Probability: 16.3% | Stand Probability: 9.6%
  Dealer Upcard: 2 | Hit Probability: 22.9% | Stand Probability: 11.2%
  Dealer Upcard: 3 | Hit Probability: 29.2% | Stand Probability: 8.6%
  Dealer Upcard: 4 | Hit Probability: 26.6% | Stand Probability: 11.6%
  Dealer Upcard: 5 | Hit Probability: 19.6% | Stand Probability: 14.0%
  Dealer Upcard: 6 | Hit Probability: 20.9% | Stand Probability: 11.1%
  Dealer Upcard: 7 | Hit Probability: 25.7% | Stand Probability: 9.0%
  Dealer Upcard: 8 | Hit Probability: 26.7% | Stand Probability: 7.8%
  Dealer Upcard: 9 | Hit Probability: 18.6% | Stand Probability: 7.5%
  Dealer Upcard: 10 | Hit Probability: 16.0% | Stand Probability: 3.0%


Player's Score: 3
  Dealer Upcard: 1 | Hit Probability: 23.2% | Stand Probability: 5.8%
  Dealer Upcard: 2 | Hit Probability: 23.4% | Stand Probability: 11.7%
  Dealer Upcard: 3 | Hit Probability: 21.9% | Stand Probability: 11.9%
  Dealer Upcard: 4 | Hit Probability: 27.6% | Stand Probability: 13.8%
  Dealer Upcard: 5 | Hit Probability: 23.3% | Stand Probability: 10.6%
  Dealer Upcard: 6 | Hit Probability: 26.5% | Stand Probability: 11.8%
  Dealer Upcard: 7 | Hit Probability: 24.4% | Stand Probability: 7.6%
  Dealer Upcard: 8 | Hit Probability: 23.0% | Stand Probability: 5.4%
  Dealer Upcard: 9 | Hit Probability: 20.8% | Stand Probability: 4.5%
  Dealer Upcard: 10 | Hit Probability: 17.2% | Stand Probability: 3.5%


Player's Score: 4
  Dealer Upcard: 1 | Hit Probability: 13.9% | Stand Probability: 6.9%
  Dealer Upcard: 2 | Hit Probability: 23.8% | Stand Probability: 12.9%
  Dealer Upcard: 3 | Hit Probability: 22.3% | Stand Probability: 12.0%
  Dealer Upcard: 4 | Hit Probability: 20.0% | Stand Probability: 12.4%
  Dealer Upcard: 5 | Hit Probability: 19.5% | Stand Probability: 11.3%
  Dealer Upcard: 6 | Hit Probability: 20.8% | Stand Probability: 10.8%
  Dealer Upcard: 7 | Hit Probability: 22.7% | Stand Probability: 9.3%
  Dealer Upcard: 8 | Hit Probability: 20.3% | Stand Probability: 6.0%
  Dealer Upcard: 9 | Hit Probability: 16.1% | Stand Probability: 7.1%
  Dealer Upcard: 10 | Hit Probability: 13.7% | Stand Probability: 3.3%


Player's Score: 5
